"id","hsncode","name","gst_tax_ids:id"
"07099050","07099050","Mixed vegetables","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07000000","07000000","Herb, bark, dry plant, dry root, commonly known as jari booti and dry flower","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"07100000","07100000","Vegetables (uncooked or cooked by steaming or boiling in water), frozen","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"07101000","07101000","Potatoes uncooked or cooked by steaming or boiling in water","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"07102100","07102100","Peas (pisum sativum) shelled or unshelled, fresh or chilled","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"07102200","07102200","Beans (vigna spp, phaseolus spp) shelled or unshelled, fresh or chilled","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"07102900","07102900","Other leguminous vegetables (uncooked, cooked by steaming or boiling in)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"07103000","07103000","Spinach, new zealand spinach and orache spinach(garden spinach)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"07104000","07104000","Sweet corn","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"07108000","07108000","Other vegetables un cooked or cooked by steaming or boiling in water","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"07108010","07108010","Terragon un cooked or cooked by steaming or boiling in water","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"07110000","07110000","Vegetables provisionally preserved (for example, by sulphur dioxide gas, in brine, insulphur water or in other preservative solution), but unsuitable in that state for immediate consumption","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"07129040","07129040","Dried Garlic","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
